item_code,style,sizes,colour,pairs_per_bag,bag_price,bg_color
FG-SR JOGGER,FG-SR JOGGER,40-42,POLO,36,59864,#BDD7EE
FG-SR JOGGER1,FG-SR JOGGER,40-43,POLO,36,59864,#BDD7EE
FG-SR JOGGER 2,FG-SR JOGGER,40-44,POLO,36,59864,#BDD7EE
FG-JR JOGGER,FG-JR JOGGER,32-39,AG POLO,36,41900,#BDD8EE
FG-JR/JR JOGGER,FG-JR/JR JOGGER,24-31,AG,48,41732,#FFF6CC
FG-SR LALE 1,FG-SR LALE,40-44,BLACK,30,58730,#E3F2D9
FG-SR LALE 2,FG-SR LALE,40-44,AG,30,58730,#C6E0B3
FG-SR LALE 3,FG-SR LALE,40-43,AG,30,58730,#E3F2D9
FG-SR LALE 4,FG-SR LALE,40-42,AG,30,58730,#E3F2D9
FG-JR LALE,FG-JR LALE,32-39,AG,36,49316,#CDE8B4
FG-JR/JR LALE,FG-JR/JR LALE,24-31,AG,48,49844,#A9D08F
FG-MINI LALE,FG-MINI LALE,16-23,AG,60,43580,#A9D08F
FG-SR ICON,FG-SR ICON,41-45,BLACK,30,57410,#EFEFEF
FG-JR ICON,FG-JR ICON,32/33-38/39,BLACK,36,47948,#EFEFEF
FG-JR ICON SPORT,FG-JR ICON SPORT,32/33-38/39,MIX,36,40964,#EFEFEF
FG-JR/JR ICON SPORT,FG-JR/JR ICON SPORT,24/25-31/32,MIX,48,41828,#EFEFEF
FG-SR YARO 1,FG-SR YARO,40-44,BLACK,30,57500,#FFE8CC
FG-SR YARO 2,FG-SR YARO,41-44,BLACK,30,57500,#FFE8CC
FG-JR YARO,FG-JR YARO,32-39,BLACK,36,48524,#FFE8CC
FG-JR YARO AG,FG-JR YARO,34-40,AG,36,50324,#FFE8CC
FG-JR/JR YARO BLACK,FG-JR/JR YARO,24-31,BLACK,48,48932,#FFE8CC
FG-JR/JR YARO ARMY,FG-JR/JR YARO,24-31,ARMY,48,48932,#FFE8CC
FG-MINI YARO,FG-MINI YARO,16-23,AG,60,43160,#FFD9A8
FG-SR B/BALL,FG-SR B/BALL,41-45,BLACK,30,63350,#EFEFEF
FG-SR COMBAT,FG-SR COMBAT,41-46,BLACK,24,89396,#EFEFEF
FG-SR MARABA,FG-SR MARABA,40-44,BLACK,30,53420,#EFEFEF
FG-SR MARABA AG,FG-SR MARABA,40-44,AG,30,53420,#EFEFEF
FG-SR STRIKER,FG-SR STRIKER,41-45,MIX,30,57710,#808080
FG-LADY SHOE,FG-LADY SHOE,6-Apr,MIX,48,52484,#F2F2F2
FG-BIMBO,FG-BIMBO,20-24,MIX,240,154580,#E6D6BF
FG-CH RAINBOOT,FG-CH RAINBOOT,24-29,MIX,60,86480,#FFFFFF
FG-JR/JR JAMNI,FG-JR/JR JAMNI,24-31,BLACK,48,48932,#E3F2D9
FG-SR NASARA,FG-SR NASARA,40-44,BLACK,30,57500,#E3F2D9
FG-JR NASARA,FG-JR NASARA,32-39,AG,36,48920,#E3F2D9
FG-JR NASARA,FG-JR NASARA,36-40,AG,36,53240,#E3F2D9
FG-JR/JR NASARA,FG-JR/JR NASARA,24-31,AG,48,48932,#CDE8B4
FG-SR LEGEND,FG-SR LEGEND,40-44,BLACK,30,56750,#EFEFEF
FG-SR SAFARI,FG-SR SAFARI,40-44,BLACK,30,54200,#EFEFEF
FG-SR SAFARI AG,FG-SR SAFARI,40-44,AG,30,54200,#EFEFEF
FG-SR METRO,FG-SR METRO,40-45,BLACK,30,51800,#EFEFEF
FG-STRONG SLIPPER,FG-STRONG SLIPPER,ASSORTED,MIX,12,17600,#EFEFEF
FG-STAR SLIPPER,FG-STAR SLIPPER,ASSORTED,MIX,12,16808,#D7EED0
FG-SR RBOOT42,FG-SR R.BOOT (HD),42,AG,10,59880,#D7EED0
FG-SR RBOOT43,FG-SR R.BOOT (HD),43,AG,10,59880,#D7EED0
FG-SR RBOOT44,FG-SR R.BOOT (HD),44,AG,10,59880,#D7EED0
FG-SR RBOOT45,FG-SR R.BOOT (HD),45,AG,10,59880,#D7EED0
FG-SR RBOOT46,FG-SR R.BOOT (HD),46,AG,10,59880,#D7EED0
FG-SR RBOOT47,FG-SR R.BOOT (HD),47,AG,10,59880,#D7EED0
FG-SR RBOOT42W,FG-SR R.BOOT (HD),42,WHITE,10,59880,#D7EED0
FG-SR RBOOT SHORT,FG-SR R.BOOT SHORT,ASSORTED,HD-MX,12,49520,#D7EED0
